日期,指标名称,判断结果,情绪得分,数值数据,判断标准,当前状态解读
2025-07-08,成交量趋势 (SPY),中性,0.0,0.8,乐观：上涨+放量（>120%）。中性：成交量 80%-120%。悲观：下跌+放量。,价格横盘或略涨跌，成交量与均值基本持平（±20%），观望氛围浓。
2025-07-08,TRIN 指数 (Arms Index),中性,0.0,1.0,乐观 (<0.8)：买盘强。中性 (0.8-1.2)：力量均衡。悲观 (>1.2)：卖压大。,广度与动能平衡，市场短期没有方向。
2025-07-08,SPY 当日净流入金额,悲观,-1.0,-931.2,乐观：持续大额净流入。中性：资金进出平衡。悲观：持续净流出。,出现大额净流出，反映机构减仓或市场避险升温。
2025-07-08,避险资产流向 (TLT+GLD),中性,0.0,-199.7,乐观 (< -10亿)：避险流出。中性 (-10亿~+10亿)：平衡。悲观 (>+10亿)：避险流入。,资金流动稳定，无明显避险或风险趋势。
2025-07-08,CNN Fear & Greed,中性,0.0,74.0,"乐观 (45-55): 市场情绪处于中性平衡点。中性 (25-44 或 56-75): 市场进入""恐惧""或""贪婪""状态。悲观/警示 (≤ 24 或 ≥ 76): 市场进入""极度恐惧""或""极度贪婪""。",市场情绪偏向恐惧或贪婪，但未达到极端水平。
2025-07-09,VIX 指数 (恐慌指数),乐观,1.0,15.94,乐观 (<20)：波动率低，市场预期稳定。中性 (20-25)：不确定性上升。悲观 (>25)：恐慌增强。,VIX 持续处于低位(15.94)，显示市场预期稳定，风险情绪低。
2025-07-09,避险资产流向 (TLT+GLD),中性,0.0,194.8,乐观 (< -10亿)：避险流出。中性 (-10亿~+10亿)：平衡。悲观 (>+10亿)：避险流入。,资金流动稳定，无明显避险或风险趋势。
2025-07-09,SPY 当日净流入金额,中性,0.0,0.0021,乐观：持续大额净流入。中性：资金进出平衡。悲观：持续净流出。,资金进出较为平衡，缺乏明确趋势。
2025-07-09,TRIN 指数 (Arms Index),悲观,-1.0,1.7,乐观 (<0.8)：买盘强。中性 (0.8-1.2)：力量均衡。悲观 (>1.2)：卖压大。,卖压放大、成交集中于下跌股票，显示恐慌倾向。
2025-07-09,成交量趋势 (SPY),中性,0.0,0.82,乐观：上涨+放量（>120%）。中性：成交量 80%-120%。悲观：下跌+放量。,价格横盘或略涨跌，成交量与均值基本持平（±20%），观望氛围浓。
2025-07-09,新高/新低比 (NH/NL),中性,0.0,7.25,乐观 (>10)：趋势极强，结构性上涨；中性 (0.8–10)：市场扩散健康但非过热；悲观 (<0.5)：结构疲弱、可能临近底部。,市场扩散健康但非过热，属于良性结构。
2025-07-09,涨跌比 (A/D Ratio),中性,0.0,1.45,乐观 (>1.5)：上涨广度强。中性 (0.8-1.5)：分歧明显。悲观 (<0.8)：下跌主导。,上涨与下跌股票数量相近，市场内部分歧较大。
2025-07-09,指数与均线 (S&P 500),乐观,1.0,"6263.26,6110.00,5934.21",乐观：价格 > MA20 & MA50。中性：价格徘徊于 MA20 附近。悲观：跌破 MA50。,指数站稳关键均线之上，多头趋势确立，技术面支撑较强。
2025-07-09,Put/Call Ratio,乐观,1.0,0.56,乐观 (<0.7)：偏多情绪强。中性 (0.7-1.0)：多空均衡。悲观 (>1.0)：看空期权活跃。,看涨期权活跃，看跌期权比例较低，投资者普遍押注市场上涨，可能存在过度乐观风险。
2025-07-09,美元指数 (DXY),乐观,1.0,97.32,乐观 (<100)：弱美元。中性 (100-103)：震荡。悲观 (>103)：强美元压制风险资产。,美元走弱，风险资产（如美股、黄金）受益，全球资金向风险资产倾斜。
2025-07-09,CNN Fear & Greed,中性,0.0,75.0,"乐观 (45-55): 市场情绪处于中性平衡点。中性 (25-44 或 56-75): 市场进入""恐惧""或""贪婪""状态。悲观/警示 (≤ 24 或 ≥ 76): 市场进入""极度恐惧""或""极度贪婪""。",市场情绪偏向恐惧或贪婪，但未达到极端水平。
2025-07-10,VIX 指数 (恐慌指数),乐观,1.0,15.78,乐观 (<20)：波动率低，市场预期稳定。中性 (20-25)：不确定性上升。悲观 (>25)：恐慌增强。,VIX 持续处于低位(15.78)，显示市场预期稳定，风险情绪低。
2025-07-10,Put/Call Ratio,乐观,1.0,0.52,乐观 (<0.7)：偏多情绪强。中性 (0.7-1.0)：多空均衡。悲观 (>1.0)：看空期权活跃。,看涨期权活跃，看跌期权比例较低，投资者普遍押注市场上涨，可能存在过度乐观风险。
2025-07-10,指数与均线 (S&P 500),乐观,1.0,"6280.46,6122.08,5949.24",乐观：价格 > MA20 & MA50。中性：价格徘徊于 MA20 附近。悲观：跌破 MA50。,指数站稳关键均线之上，多头趋势确立，技术面支撑较强。
2025-07-10,涨跌比 (A/D Ratio),乐观,1.0,2.05,乐观 (>1.5)：上涨广度强。中性 (0.8-1.5)：分歧明显。悲观 (<0.8)：下跌主导。,上涨股票数量远多于下跌，市场上涨广度强，可能是健康的上涨。
2025-07-10,新高/新低比 (NH/NL),乐观,1.0,12.38,乐观 (>10)：趋势极强，结构性上涨；中性 (0.8–10)：市场扩散健康但非过热；悲观 (<0.5)：结构疲弱、可能临近底部。,趋势极强，短期上涨可能过热。
2025-07-10,成交量趋势 (SPY),中性,0.0,0.78,乐观：上涨+放量（>120%）。中性：成交量 80%-120%。悲观：下跌+放量。,价格横盘或略涨跌，成交量与均值基本持平（±20%），观望氛围浓。
2025-07-10,TRIN 指数 (Arms Index),悲观,-1.0,1.21,乐观 (<0.8)：买盘强。中性 (0.8-1.2)：力量均衡。悲观 (>1.2)：卖压大。,卖压放大、成交集中于下跌股票，显示恐慌倾向。
2025-07-10,SPY 当日净流入金额,乐观,1.0,312.1,乐观：持续大额净流入。中性：资金进出平衡。悲观：持续净流出。,主流ETF出现大额净流入，显示资金持续流入市场、风险偏好上升。
2025-07-10,避险资产流向 (TLT+GLD),中性,0.0,603.7,乐观 (< -10亿)：避险流出。中性 (-10亿~+10亿)：平衡。悲观 (>+10亿)：避险流入。,资金流动稳定，无明显避险或风险趋势。
2025-07-10,美元指数 (DXY),乐观,1.0,97.771,乐观 (<100)：弱美元。中性 (100-103)：震荡。悲观 (>103)：强美元压制风险资产。,美元走弱，风险资产（如美股、黄金）受益，全球资金向风险资产倾斜。
2025-07-10,CNN Fear & Greed,中性,0.0,75.0,"乐观 (45-55): 市场情绪处于中性平衡点。中性 (25-44 或 56-75): 市场进入""恐惧""或""贪婪""状态。悲观/警示 (≤ 24 或 ≥ 76): 市场进入""极度恐惧""或""极度贪婪""。",市场情绪偏向恐惧或贪婪，但未达到极端水平。
2025-07-11,避险资产流向 (TLT+GLD),中性,0.0,238.9,乐观 (< -10亿)：避险流出。中性 (-10亿~+10亿)：平衡。悲观 (>+10亿)：避险流入。,资金流动稳定，无明显避险或风险趋势。
2025-07-11,SPY 当日净流入金额,悲观,-1.0,-3700.0,乐观：持续大额净流入。中性：资金进出平衡。悲观：持续净流出。,出现大额净流出，反映机构减仓或市场避险升温。
2025-07-11,TRIN 指数 (Arms Index),乐观,1.0,0.76,乐观 (<0.8)：买盘强。中性 (0.8-1.2)：力量均衡。悲观 (>1.2)：卖压大。,买盘广度强、动能足，市场普遍参与度高。
2025-07-11,成交量趋势 (SPY),中性,0.0,0.87,乐观：上涨+放量（>120%）。中性：成交量 80%-120%。悲观：下跌+放量。,价格横盘或略涨跌，成交量与均值基本持平（±20%），观望氛围浓。
2025-07-11,新高/新低比 (NH/NL),中性,0.0,3.82,乐观 (>10)：趋势极强，结构性上涨；中性 (0.8–10)：市场扩散健康但非过热；悲观 (<0.5)：结构疲弱、可能临近底部。,市场扩散健康但非过热，属于良性结构。
2025-07-11,美元指数 (DXY),乐观,1.0,97.85,乐观 (<100)：弱美元。中性 (100-103)：震荡。悲观 (>103)：强美元压制风险资产。,美元走弱，风险资产（如美股、黄金）受益，全球资金向风险资产倾斜。
2025-07-11,指数与均线 (S&P 500),乐观,1.0,"6259.75,6133.95,5963.22",乐观：价格 > MA20 & MA50。中性：价格徘徊于 MA20 附近。悲观：跌破 MA50。,指数站稳关键均线之上，多头趋势确立，技术面支撑较强。
2025-07-11,Put/Call Ratio,乐观,1.0,0.53,乐观 (<0.7)：偏多情绪强。中性 (0.7-1.0)：多空均衡。悲观 (>1.0)：看空期权活跃。,看涨期权活跃，看跌期权比例较低，投资者普遍押注市场上涨，可能存在过度乐观风险。
2025-07-11,CNN Fear & Greed,中性,0.0,75.0,"乐观 (45-55): 市场情绪处于中性平衡点。中性 (25-44 或 56-75): 市场进入""恐惧""或""贪婪""状态。悲观/警示 (≤ 24 或 ≥ 76): 市场进入""极度恐惧""或""极度贪婪""。",市场情绪偏向恐惧或贪婪，但未达到极端水平。
2025-07-11,VIX 指数 (恐慌指数),乐观,1.0,16.4,乐观 (<20)：波动率低，市场预期稳定。中性 (20-25)：不确定性上升。悲观 (>25)：恐慌增强。,VIX 持续处于低位(16.4)，显示市场预期稳定，风险情绪低。
2025-07-11,涨跌比 (A/D Ratio),悲观,-1.0,0.39,乐观 (>1.5)：上涨广度强。中性 (0.8-1.5)：分歧明显。悲观 (<0.8)：下跌主导。,下跌股票占据主导，反映市场情绪偏空，普遍抛压出现。
2025-07-14,CNN Fear & Greed,悲观/警示,1.0,76.0,"乐观 (45-55): 市场情绪处于中性平衡点。中性 (25-44 或 56-75): 市场进入""恐惧""或""贪婪""状态。悲观/警示 (≤ 24 或 ≥ 76): 市场进入""极度恐惧""或""极度贪婪""。",CNN Fear & Greed当前状态：悲观/警示
2025-07-14,Put/Call Ratio,乐观,1.0,0.51,乐观 (<0.7)：偏多情绪强。中性 (0.7-1.0)：多空均衡。悲观 (>1.0)：看空期权活跃。,看涨期权活跃，看跌期权比例较低，投资者普遍押注市场上涨，可能存在过度乐观风险。
2025-07-14,指数与均线 (S&P 500),乐观,1.0,"6268.56,6145.12,5977.21",乐观：价格 > MA20 & MA50。中性：价格徘徊于 MA20 附近。悲观：跌破 MA50。,指数站稳关键均线之上，多头趋势确立，技术面支撑较强。
2025-07-14,涨跌比 (A/D Ratio),中性,0.0,1.17,乐观 (>1.5)：上涨广度强。中性 (0.8-1.5)：分歧明显。悲观 (<0.8)：下跌主导。,上涨与下跌股票数量相近，市场内部分歧较大。
2025-07-14,新高/新低比 (NH/NL),中性,0.0,4.53,乐观 (>10)：趋势极强，结构性上涨；中性 (0.8–10)：市场扩散健康但非过热；悲观 (<0.5)：结构疲弱、可能临近底部。,市场扩散健康但非过热，属于良性结构。
2025-07-14,成交量趋势 (SPY),中性,0.0,0.71,乐观：上涨+放量（>120%）。中性：成交量 80%-120%。悲观：下跌+放量。,价格横盘或略涨跌，成交量与均值基本持平（±20%），观望氛围浓。
2025-07-14,TRIN 指数 (Arms Index),乐观,1.0,0.75,乐观 (<0.8)：买盘强。中性 (0.8-1.2)：力量均衡。悲观 (>1.2)：卖压大。,买盘广度强、动能足，市场普遍参与度高。
2025-07-14,SPY 当日净流入金额,乐观,1.0,1800.0,乐观：持续大额净流入。中性：资金进出平衡。悲观：持续净流出。,主流ETF出现大额净流入，显示资金持续流入市场、风险偏好上升。
2025-07-14,避险资产流向 (TLT+GLD),,,,乐观 (< -10亿)：避险流出。中性 (-10亿~+10亿)：平衡。悲观 (>+10亿)：避险流入。,避险资产流向 (TLT+GLD)当前状态：nan
2025-07-14,VIX 指数 (恐慌指数),乐观,1.0,17.2,乐观 (<20)：波动率低，市场预期稳定。中性 (20-25)：不确定性上升。悲观 (>25)：恐慌增强。,VIX 持续处于低位(17.2)，显示市场预期稳定，风险情绪低。
2025-07-14,美元指数 (DXY),乐观,1.0,98.043,乐观 (<100)：弱美元。中性 (100-103)：震荡。悲观 (>103)：强美元压制风险资产。,美元走弱，风险资产（如美股、黄金）受益，全球资金向风险资产倾斜。
2025-07-15,新高/新低比 (NH/NL),中性,0.0,2.29,乐观 (>10)：趋势极强，结构性上涨；中性 (0.8–10)：市场扩散健康但非过热；悲观 (<0.5)：结构疲弱、可能临近底部。,市场扩散健康但非过热，属于良性结构。
2025-07-15,美元指数 (DXY),乐观,1.0,98.597,乐观 (<100)：弱美元。中性 (100-103)：震荡。悲观 (>103)：强美元压制风险资产。,美元走弱，风险资产（如美股、黄金）受益，全球资金向风险资产倾斜。
2025-07-15,避险资产流向 (TLT+GLD),,,,乐观 (< -10亿)：避险流出。中性 (-10亿~+10亿)：平衡。悲观 (>+10亿)：避险流入。,避险资产流向 (TLT+GLD)当前状态：nan
2025-07-15,SPY 当日净流入金额,悲观,-1.0,-2700.0,乐观：持续大额净流入。中性：资金进出平衡。悲观：持续净流出。,出现大额净流出，反映机构减仓或市场避险升温。
2025-07-15,TRIN 指数 (Arms Index),乐观,1.0,0.57,乐观 (<0.8)：买盘强。中性 (0.8-1.2)：力量均衡。悲观 (>1.2)：卖压大。,买盘广度强、动能足，市场普遍参与度高。
2025-07-15,成交量趋势 (SPY),中性,0.0,1.03,乐观：上涨+放量（>120%）。中性：成交量 80%-120%。悲观：下跌+放量。,价格横盘或略涨跌，成交量与均值基本持平（±20%），观望氛围浓。
2025-07-15,Put/Call Ratio,乐观,1.0,0.57,乐观 (<0.7)：偏多情绪强。中性 (0.7-1.0)：多空均衡。悲观 (>1.0)：看空期权活跃。,看涨期权活跃，看跌期权比例较低，投资者普遍押注市场上涨，可能存在过度乐观风险。
2025-07-15,涨跌比 (A/D Ratio),悲观,-1.0,0.15,乐观 (>1.5)：上涨广度强。中性 (0.8-1.5)：分歧明显。悲观 (<0.8)：下跌主导。,下跌股票占据主导，反映市场情绪偏空，普遍抛压出现。
2025-07-15,指数与均线 (S&P 500),乐观,1.0,"6243.76,6158.46,5990.01",乐观：价格 > MA20 & MA50。中性：价格徘徊于 MA20 附近。悲观：跌破 MA50。,指数站稳关键均线之上，多头趋势确立，技术面支撑较强。
2025-07-15,CNN Fear & Greed,中性,0.0,74.0,"乐观 (45-55): 市场情绪处于中性平衡点。中性 (25-44 或 56-75): 市场进入""恐惧""或""贪婪""状态。悲观/警示 (≤ 24 或 ≥ 76): 市场进入""极度恐惧""或""极度贪婪""。",市场情绪偏向恐惧或贪婪，但未达到极端水平。
2025-07-15,VIX 指数 (恐慌指数),乐观,1.0,17.38,乐观 (<20)：波动率低，市场预期稳定。中性 (20-25)：不确定性上升。悲观 (>25)：恐慌增强。,VIX 持续处于低位(17.38)，显示市场预期稳定，风险情绪低。
2025-07-16,涨跌比 (A/D Ratio),中性,0.0,1.97,乐观 (>1.5)：上涨广度强。中性 (0.8-1.5)：分歧明显。悲观 (<0.8)：下跌主导。,上涨与下跌股票数量相近，市场内部分歧较大。
2025-07-16,指数与均线 (S&P 500),乐观,1.0,"6263.70,6169.99,6001.55",乐观：价格 > MA20 & MA50。中性：价格徘徊于 MA20 附近。悲观：跌破 MA50。,指数站稳关键均线之上，多头趋势确立，技术面支撑较强。
2025-07-16,Put/Call Ratio,乐观,1.0,0.53,乐观 (<0.7)：偏多情绪强。中性 (0.7-1.0)：多空均衡。悲观 (>1.0)：看空期权活跃。,看涨期权活跃，看跌期权比例较低，投资者普遍押注市场上涨，可能存在过度乐观风险。
2025-07-16,新高/新低比 (NH/NL),中性,0.0,1.46,乐观 (>10)：趋势极强，结构性上涨；中性 (0.8–10)：市场扩散健康但非过热；悲观 (<0.5)：结构疲弱、可能临近底部。,市场扩散健康但非过热，属于良性结构。
2025-07-16,美元指数 (DXY),乐观,1.0,98.505,乐观 (<100)：弱美元。中性 (100-103)：震荡。悲观 (>103)：强美元压制风险资产。,美元走弱，风险资产（如美股、黄金）受益，全球资金向风险资产倾斜。
2025-07-16,TRIN 指数 (Arms Index),乐观,1.0,0.76,乐观 (<0.8)：买盘强。中性 (0.8-1.2)：力量均衡。悲观 (>1.2)：卖压大。,TRIN 指数 (Arms Index)当前状态：乐观 (超买警示)
2025-07-16,SPY 当日净流入金额,乐观,1.0,1200.0,乐观：持续大额净流入。中性：资金进出平衡。悲观：持续净流出。,主流ETF出现大额净流入，显示资金持续流入市场、风险偏好上升。
2025-07-16,避险资产流向 (TLT+GLD),中性,0.0,466.4,乐观 (< -10亿)：避险流出。中性 (-10亿~+10亿)：平衡。悲观 (>+10亿)：避险流入。,资金流动稳定，无明显避险或风险趋势。
2025-07-16,CNN Fear & Greed,中性,0.0,74.0,"乐观 (45-55): 市场情绪处于中性平衡点。中性 (25-44 或 56-75): 市场进入""恐惧""或""贪婪""状态。悲观/警示 (≤ 24 或 ≥ 76): 市场进入""极度恐惧""或""极度贪婪""。",市场情绪偏向恐惧或贪婪，但未达到极端水平。
2025-07-16,成交量趋势 (SPY),乐观,1.0,1.22,乐观：上涨+放量（>120%）。中性：成交量 80%-120%。悲观：下跌+放量。,价格上涨同时伴随成交量显著增加（>20日均值的1.2倍），买盘积极、市场信心强。
2025-07-16,VIX 指数 (恐慌指数),乐观,1.0,17.16,乐观 (<20)：波动率低，市场预期稳定。中性 (20-25)：不确定性上升。悲观 (>25)：恐慌增强。,VIX 持续处于低位(17.16)，显示市场预期稳定，风险情绪低。
2025-07-17,VIX 指数 (恐慌指数),乐观,1.0,16.52,"乐观 (<20)：波动率低 市场预期稳定。中性 (20-25)：不确定性上升。悲观 (>25)：恐慌增强。","今日VIX从17.38下降至16.52 持续处于20以下的绝对乐观区间 显示市场风险偏好稳定"
2025-07-17,CNN Fear & Greed,中性,0.0,75.0,"乐观 (45-55): 市场情绪处于中性平衡点。中性 (25-44 或 56-75): 市场进入“恐惧”或“贪婪”状态。悲观/警示 (≤ 24 或 ≥ 76): 市场进入“极度恐惧”或“极度贪婪”。","今日指数从74微升至75 持续在'贪婪'区间高位运行 市场情绪过热的风险依然存在"
2025-07-17,Put/Call Ratio,乐观,1.0,0.65,"乐观 (<0.7)：偏多情绪强。中性 (0.7-1.0)：多空均衡。悲观 (>1.0)：看空期权活跃。","今日P/C比率从0.57升至0.65 整体仍处于乐观区间 看多情绪依旧是市场主流"
2025-07-17,指数与均线 (S&P 500),乐观,1.0,"6297.36,6185.72,6014.49","乐观：价格 > MA20 & MA50。中性：价格徘徊于 MA20 附近。悲观：跌破 MA50。","今日指数继续上涨33.66点 延续了站稳于所有关键均线上方的强势技术形态"
2025-07-17,涨跌比 (A/D Ratio),乐观,1.0,2.29,"乐观 (> 2.0): 上涨广度极强。中性 (0.8 - 2.0): 上涨和下跌股票数量相对均衡。悲观 (< 0.8): 下跌股票数量明显占优。","今日A/D比率从0.15大幅反弹至2.29 市场广度在一天内由极差转为极强 显示普涨行情回归"
2025-07-17,新高/新低比 (NH/NL),中性,0.0,9.56,"乐观 (>10)：趋势极强 结构性上涨；中性 (0.8–10)：市场扩散健康但非过热；悲观 (<0.5)：结构疲弱 可能临近底部。","今日创出新高的股票数(86)远超新低数(9) 比率高达9.56 领涨结构非常健康 接近乐观区间"
2025-07-17,成交量趋势 (SPY),中性,0.0,0.96,"乐观：上涨+放量（>120%）。中性：成交量 80%-120%。悲观：下跌+放量。","今日指数上涨但成交量略低于20日均值(0.96倍) 属于上涨平量 显示上涨动能一般"
2025-07-17,TRIN 指数 (Arms Index),中性,0.0,0.88,"乐观 (超买警示) (<0.8): 买盘极度强劲 但有回调风险。中性 (0.8-1.2): 多空力量相对均衡。悲观 (超卖机会) (>1.2): 卖压沉重 但有潜在买入机会。","今日TRIN指数从0.57回升至0.88的均衡点 表明前日的短期超买情绪得到缓解 市场买卖力量恢复平衡"
2025-07-17,SPY 当日净流入金额,乐观,1.0,1800.0,"乐观 (≥ +5亿): 大额净流入。中性 (-5亿 ~ +5亿): 资金进出平衡。悲观 (≤ -5亿): 大额净流出。","SPY的资金流向出现了惊人的逆转 从昨日18亿的大额净流入 转为今日31亿的大额净流出。这清晰地表明 机构投资者在今天进行了大规模的减持和撤离。这种级别的资金外流是市场情绪转坏的强烈证据。"
2025-07-17,避险资产流向 (TLT+GLD),中性,0.0,-270.4,"乐观 (< -10亿)：避险流出。中性 (-10亿~+10亿)：平衡。悲观 (>+10亿)：避险流入。","资金从昨日的小幅流出避险资产 转为今日的小幅流入。虽然金额不大 不足以进入“悲观”档 但方向的转变值得注意。这表明市场风险偏好开始下降 部分资金开始寻求国债和黄金的避护。"
2025-07-17,美元指数 (DXY),乐观,1.0,98.45,"乐观 (<100)：弱美元。中性 (100-103)：震荡。悲观 (>103)：强美元压制风险资产。","今日美元指数小幅下跌至98.45 持续处于100以下的弱势区间 为风险资产提供了有利的宏观环境"
2025-07-18,VIX 指数 (恐慌指数),乐观,1.0,16.41,"乐观 (<20)：波动率低 市场预期稳定。中性 (20-25)：不确定性上升。悲观 (>25)：恐慌增强。","VIX指数今日微幅下降 继续在20以下的极低水平运行。这清晰地表明 尽管指数微跌 市场完全没有恐慌情绪 投资者对后市的稳定性抱有极强的信心 风险偏好稳定。"
2025-07-18,CNN Fear & Greed,中性,0.0,75.0,"乐观 (45-55): 市场情绪处于中性平衡点。中性 (25-44 或 56-75): 市场进入“恐惧”或“贪婪”状态。悲观/警示 (≤ 24 或 ≥ 76): 市场进入“极度恐惧”或“极度贪婪”。","指数维持在75的高位 这反映出市场普遍情绪依然是“贪婪”。虽然这支撑了牛市氛围 但也持续发出了市场情绪过热、短期回调风险较高的警示。"
2025-07-18,Put/Call Ratio,乐观,1.0,0.48,"乐观 (<0.7)：偏多情绪强。中性 (0.7-1.0)：多空均衡。悲观 (>1.0)：看空期权活跃。","P/C比率大幅下降至0.48的极端水平 显示出期权市场中的投机性看多情绪达到了非常浓厚的程度 交易者在疯狂买入看涨期权。这既是市场极端乐观的体现 也是一个强烈的逆向警示信号 表明市场可能因过度乐观而变得脆弱。"
2025-07-18,指数与均线 (S&P 500),乐观,1.0,"6296.79,6201.52,6028.28","乐观：价格 > MA20 & MA50。中性：价格徘徊于 MA20 附近。悲观：跌破 MA50。","指数几乎收于平盘 完全没有改变其站立在所有关键均线上方的强势技术形态。多头格局非常稳固 从价格趋势上看 市场依然处于绝对强势中。"
2025-07-18,涨跌比 (A/D Ratio),悲观/警示,-1.0,0.59,"乐观 (> 2.0): 上涨广度极强。中性 (0.8 - 2.0): 上涨和下跌股票数量相对均衡。悲观 (< 0.8): 下跌股票数量明显占优。","这是今日数据中最重要的负面信号。市场广度在一天之内从“普涨”急剧恶化为“普跌” 下跌股票数量远超上涨股票。这表明 虽然指数稳如泰山 但绝大多数中小股票正在经历下跌 市场上涨的根基非常不稳。"
2025-07-18,新高/新低比 (NH/NL),中性,0.0,4.25,"乐观 (>10)：趋势极强 结构性上涨；中性 (0.8–10)：市场扩散健康但非过热；悲观 (<0.5)：结构疲弱 可能临近底部。","与A/D比率的恶化相呼应 创出新高的股票“领头羊”力量也大幅减弱。虽然比率仍在健康区间 但下降的幅度很大 说明推动市场创出新高的动能正在减弱。"
2025-07-18,成交量趋势 (SPY),中性,0.0,0.92,"乐观：上涨+放量（>120%）。中性：成交量 80%-120%。悲观：下跌+放量。","今日指数微跌 成交量同时也是萎缩的 属于“下跌缩量”。这通常被解读为市场抛售压力并不大 持有者惜售。这个信号与A/D比率的结论是相矛盾的 指向了一个非常复杂的市场内部状态。"
2025-07-18,TRIN 指数 (Arms Index),中性,0.0,0.84,"乐观 (超买警示) (<0.8): 买盘极度强劲 但有回调风险。中性 (0.8-1.2): 多空力量相对均衡。悲观 (超卖机会) (>1.2): 卖压沉重 但有潜在买入机会。","TRIN指数维持在平衡点附近 显示市场整体的买卖力量相对均衡。这个指标并没有反映出A/D比率所显示的巨大抛压 这可能意味着少数上涨股票的成交量非常巨大 抵消了大量下跌股票的影响。"
2025-07-18,SPY 当日净流入金额,乐观,1.0,2200.0,"乐观 (≥ +5亿): 大额净流入。中性 (-5亿 ~ +5亿): 资金进出平衡。悲观 (≤ -5亿): 大额净流出。","这是今日数据中最重要的正面信号。SPY的资金流入不仅没有停止 反而从昨日的18亿进一步放大到22亿。这清晰地表明 机构投资者正在以前所未有的力度大规模增持S&P 500指数ETF。"
2025-07-18,避险资产流向 (TLT+GLD),中性,0.0,-409.1,"乐观 (< -10亿)：避险流出。中性 (-10亿~+10亿)：平衡。悲观 (>+10亿)：避险流入。","资金继续从国债和黄金等避险资产中流出 且流出速度有所加快。这进一步印证了市场的风险偏好情绪正在升温 投资者愿意承担更高风险。"
2025-07-18,美元指数 (DXY),乐观,1.0,98.48,"乐观 (<100)：弱美元。中性 (100-103)：震荡。悲观 (>103)：强美元压制风险资产。","美元指数几乎没有变化 持续的弱美元环境为风险资产提供了一个有利的宏观背景。"
2025-07-21,VIX 指数 (恐慌指数),乐观,1.0,16.65,"乐观 (<20)：波动率低 市场预期稳定。中性 (20-25)：不确定性上升。悲观 (>25)：恐慌增强。","VIX指数在一个极低的水平上微幅波动 市场毫无恐慌可言。这表明投资者对指数层面的宏观风险非常放心 市场情绪极度稳定 甚至可以说是自满。"
2025-07-21,CNN Fear & Greed,中性,0.0,75.0,"乐观 (45-55): 市场情绪处于中性平衡点。中性 (25-44 或 56-75): 市场进入“恐惧”或“贪婪”状态。悲观/警示 (≤ 24 或 ≥ 76): 市场进入“极度恐惧”或“极度贪婪”。","指数维持在75的“贪婪”高位 这反映出市场的普遍乐观情绪依然是主导力量。虽然这支撑了牛市氛围 但也持续发出了市场情绪过热、短期回调风险较高的警示。"
2025-07-21,Put/Call Ratio,悲观/警示,-1.0,1.46,"乐观 (<0.7)：偏多情绪强。中性 (0.7-1.0)：多空均衡。悲观 (>1.0)：看空期权活跃。","这是当日最极端、最重要的警示信号。P/C比率从上周五极度看多的0.48 一天之内飙升至代表极度看空的1.46。这种剧变说明 在期权市场上 有大量资金（可能是机构）在疯狂买入看跌期权进行对冲 或直接押注市场会下跌。"
2025-07-21,指数与均线 (S&P 500),乐观,1.0,"6305.60,6218.40,6041.77","乐观：价格 > MA20 & MA50。中性：价格徘徊于 MA20 附近。悲观：跌破 MA50。","指数本身仍在上涨 并稳稳站在所有均线上方 技术形态上是无可争议的强势。"
2025-07-21,涨跌比 (A/D Ratio),乐观,1.0,2.05,"乐观 (> 2.0): 上涨广度极强。中性 (0.8 - 2.0): 上涨和下跌股票数量相对均衡。悲观 (< 0.8): 下跌股票数量明显占优。","这是当日最强烈的正面信号。市场广度从上周五的疲弱状态戏剧性地逆转为“普涨” 上涨的股票数量是下跌股票的两倍多 显示出极强的市场参与度。"
2025-07-21,新高/新低比 (NH/NL),乐观,1.0,12.38,"乐观 (>10)：趋势极强 结构性上涨；中性 (0.8–10)：市场扩散健康但非过热；悲观 (<0.5)：结构疲弱 可能临近底部。","同样是极强的正面信号。创下新高的股票数量远超创下新低的股票 进入了强势乐观区间 表明市场的领涨力量非常强劲。"
2025-07-21,成交量趋势 (SPY),中性,0.0,0.91,"乐观：上涨+放量（>120%）。中性：成交量 80%-120%。悲观：下跌+放量。","“价涨量缩”。指数上涨但成交量萎缩 这削弱了普涨行情的可靠性 表明市场的上涨缺乏更有力的资金推动 市场情绪偏谨慎。"
2025-07-21,TRIN 指数 (Arms Index),中性,0.0,1.00,"乐观 (超买警示) (<0.8): 买盘极度强劲 但有回调风险。中性 (0.8-1.2): 多空力量相对均衡。悲观 (超卖机会) (>1.2): 卖压沉重 但有潜在买入机会。","TRIN指数从偏向买方的0.84回到了买卖力量的绝对均衡点1.00 这与A/D比率和成交量的综合表现相符 市场并未显示出过热的买盘。"
2025-07-21,SPY 当日净流入金额,悲观/警示,-1.0,-931.2,"乐观 (≥ +5亿): 大额净流入。中性 (-5亿 ~ +5亿): 资金进出平衡。悲观 (≤ -5亿): 大额净流出。","这是另一个强烈的负面信号。SPY的资金流向发生了惊天逆转 从上周五的巨额流入转为今日的大额流出。这清晰地表明 机构投资者正在利用市场的普涨行情“出货”或获利了结。"
